code,test
"<template>   <component :is=""myComponent"" /> </template>  <script lang=""ts""> import WarningIcon from '@/Common/components/Icons/WarningIcon.vue' import LoadedIcon from '@/Common/components/Icons/LoadedIcon.vue' import LoadingIcon from '@/Common/components/Icons/LoadingIcon.vue' import PendingIcon from '@/Common/components/Icons/PendingIcon.vue' import { defineComponent, computed } from 'vue' import { StateUpload } from '@/modules/DataManipulation/Upload/models/Files/Inputs/FileUpload' import FileIcon from '@/Common/components/Icons/FileIcon.vue'  export default defineComponent({   name: 'NattoUploadStateIcon',   props: {     statusIcon: {       type: Number,       required: true     }   },   components: {     WarningIcon,     LoadedIcon,     LoadingIcon,     PendingIcon   },   setup(props) {     const myComponent = computed(() => {       switch (props.statusIcon) {         case StateUpload.ERROR:           return WarningIcon         case StateUpload.CANCELED:           return WarningIcon         case StateUpload.UPLOADING:           return LoadingIcon         case StateUpload.UPLOADED:           return LoadedIcon         case StateUpload.PENDING:           return PendingIcon         default:           return FileIcon       }     })      return {       myComponent     }   } }) </script>","describe('NattoUploadStateIcon', () => {   describe('binding', () => {     it('Should display warning icon when state is canceled', () => {       const wrapper = createWrapper(StateUpload.CANCELED)       const NattoUploadStateIconWrapper: DOMWrapper<any> =         wrapper.find('.warning')        expect(NattoUploadStateIconWrapper.classes().length).toBeGreaterThan(0)     })     it('Should display warning icon when state is errored', () => {       const wrapper = createWrapper(StateUpload.ERROR)       const NattoUploadStateIconWrapper: DOMWrapper<any> =         wrapper.find('.warning')        expect(NattoUploadStateIconWrapper.classes().length).toBeGreaterThan(0)     })     it('Should display loading icon when state is loading', () => {       const wrapper = createWrapper(StateUpload.UPLOADING)       const NattoUploadStateIconWrapper: DOMWrapper<any> =         wrapper.find('.loader')        expect(NattoUploadStateIconWrapper.classes().length).toBeGreaterThan(0)     })      it('Should display loading icon when state is pending', () => {       const wrapper = createWrapper(StateUpload.PENDING)       const NattoUploadStateIconWrapper: DOMWrapper<any> =         wrapper.find('.pending')        expect(NattoUploadStateIconWrapper.classes().length).toBeGreaterThan(0)     })      it('Should display loaded icon when state is loaded', () => {       const wrapper = createWrapper(StateUpload.UPLOADED)       const NattoUploadStateIconWrapper: DOMWrapper<any> =         wrapper.find('.success')        expect(NattoUploadStateIconWrapper.classes().length).toBeGreaterThan(0)     })      it('Should display file icon when state is not set', () => {       const wrapper = createWrapper()       const fileIconWrapper = wrapper.findComponent(FileIcon)        expect(fileIconWrapper.exists()).toBe(true)     })   }) }) "
"<template>   <div class=""ged-card-content"">     <h1 class=""ged-card-content__title"">       {{ $t('ged.title') }}     </h1>     <no-access-box v-if=""hasDSInactive"" />     <template v-else>       <shortcuts :folders=""folders"" />       <natto-drop-zone :disabled=""isUploading"" @files-changes=""onFilesChange"">         <ged-card-upload-box           @click=""handleGedCardUploadBoxClick""           :is-uploading=""isUploading""         />       </natto-drop-zone>     </template>   </div> </template>  <script lang=""ts""> import { defineComponent, onMounted, computed } from 'vue' import Shortcuts from '@/Common/components/Home/Card/GedCardContent/Shortcuts/Shortcuts.vue' import useSearchStoreHelpers from '@/modules/Search/store/helpers' import { useStore } from 'vuex' import NoAccessBox from '@/Common/components/Home/Card/GedCardContent/NoAccess/NoAccessBox.vue' import GedCardUploadBox from '@/Common/components/Home/Card/GedCardContent/UploadBox/GedCardUploadBox.vue' import useUploadStoreHelpers from '@/modules/DataManipulation/Upload/store/helpers' import NattoDropZone from '@/Common/components/Upload/NattoDropZone.vue' import FileUpload, {   StateUpload } from '@/modules/DataManipulation/Upload/models/Files/Inputs/FileUpload' import useSearchNavigator from '@/modules/Search/navigator/useSearchNavigator'  export default defineComponent({   name: 'GedCardContent',   components: { NattoDropZone, GedCardUploadBox, Shortcuts, NoAccessBox },   setup() {     const store = useStore()     const { fetchFolders, folders } = useSearchStoreHelpers()     const { isUploading, setFiles } = useUploadStoreHelpers()     const { goToMainView } = useSearchNavigator()      onMounted(async () => {       await fetchFolders(store)     })      const handleGedCardUploadBoxClick = () => {       if (isUploading(store).value) {         return       }        goToMainView({ openSelectFilesWindow: true })     }      const onFilesChange = (files: File[]) => {       if (isUploading(store).value) {         return       }        setFiles(         store,         files.map((f: File) => new FileUpload(f, StateUpload.TO_UPLOAD))       )        goToMainView({ openWhoUploadModal: true })     }      return {       handleGedCardUploadBoxClick,       onFilesChange,       folders: folders(store),       isUploading: isUploading(store),       hasDSInactive: computed(         () =>           !folders(store).value.isLoading &&           !folders(store).value.collection.length       )     }   } }) </script>","describe('GedCardContent', () => {   beforeEach(() => {     wrapper = createWrapper()     shortcutsWrapper = findShortcuts(wrapper)     gedCardUploadBoxWrapper = findGedCardUploadBox(wrapper)     noAccessWrapper = findNoAccess(wrapper)     nattoDropZoneWrapper = findNattoDropZone(wrapper)   })    describe('rendering', () => {     expect(wrapper.text()).toContain('ged.title')   })   describe('bindings with Shortcut', () => {     describe('props bindings ', () => {       test('Shortcuts', async () => {         wrapper = createWrapper(           createSearchStoreMocked({ folders: useFoldersData().FoldersData })         )          shortcutsWrapper = findShortcuts(wrapper)          expect(shortcutsWrapper.props('folders')).toEqual(           useFoldersData().FoldersData         )       })       test('GedCardUploadBox', async () => {         wrapper = createWrapper(           createSearchStoreMocked({ folders: useFoldersData().FoldersData })         )          gedCardUploadBoxWrapper = findGedCardUploadBox(wrapper)          expect(gedCardUploadBoxWrapper.props('isUploading')).toBeFalsy()       })     })     describe('rendering', () => {       it('Should display no-access component and hide other components when there is no folder', () => {         wrapper = createWrapper()         noAccessWrapper = findNoAccess(wrapper)         expect(noAccessWrapper.exists()).toBeTruthy()         expect(shortcutsWrapper.exists()).toBeFalsy()         expect(gedCardUploadBoxWrapper.exists()).toBeFalsy()       })        it('Should display shortcuts and upload box components when there is some folders', () => {         wrapper = createWrapper(           createSearchStoreMocked({             folders: useFoldersData().FoldersData           })         )         noAccessWrapper = findNoAccess(wrapper)         shortcutsWrapper = findShortcuts(wrapper)         gedCardUploadBoxWrapper = findGedCardUploadBox(wrapper)         expect(noAccessWrapper.exists()).toBeFalsy()         expect(shortcutsWrapper.exists()).toBeTruthy()         expect(gedCardUploadBoxWrapper.exists()).toBeTruthy()       })     })   })   describe('bindings with GedCardUploadBox', () => {     test('props bindings', () => {       wrapper = createWrapper(         createSearchStoreMocked({           folders: useFoldersData().FoldersData         })       )       gedCardUploadBoxWrapper = findGedCardUploadBox(wrapper)        expect(gedCardUploadBoxWrapper.props('isUploading')).toBe(false)     })     describe('events', () => {       it('should NOT go to MainView when upload in progress', async () => {         const wrapper = createWrapper(           createFileStoreMock({             isUploading: true,             folders: useFoldersData().FoldersData           })         )          gedCardUploadBoxWrapper = findGedCardUploadBox(wrapper)          await gedCardUploadBoxWrapper.vm.$emit('click')         expect(router.push).toHaveBeenCalledTimes(0)       })       it('should go to MainView with windows explorer opened when no upload in progress', async () => {         const wrapper = createWrapper(           createFileStoreMock({             isUploading: false,             folders: useFoldersData().FoldersData           })         )          gedCardUploadBoxWrapper = findGedCardUploadBox(wrapper)          await gedCardUploadBoxWrapper.vm.$emit('click')          expect(router.push).toHaveBeenCalledWith({           name: 'MainView',           query: { openSelectFilesWindow: true }         })       })     })   })   describe('bindings with NattoDropZone', () => {     it('should dispatch setFiles action and go to Main view when NattoDropZone emit files-changes event', async () => {       const storeFileModule = createFileStoreMock()        storeFileModule.dispatch = jest.fn()       wrapper = createWrapper(storeFileModule)        const fileList: File[] = [         new File([''], 'File1'),         new File([''], 'File1')       ]        nattoDropZoneWrapper = findNattoDropZone(wrapper)       await nattoDropZoneWrapper.vm.$emit('files-changes', fileList)        expect(storeFileModule.dispatch).toHaveBeenCalledWith(         'GED/DataManipulation/Upload/setFiles',         [           {             destination: null,             errorDescription: {},             file: new File([''], 'File1'),             state: 0           },           {             destination: null,             errorDescription: {},             file: new File([''], 'File1'),             state: 0           }         ]       )        expect(router.push).toHaveBeenCalledWith({         name: 'MainView',         query: { openWhoUploadModal: true }       })     })   }) }) "
"<template>   <section class=""ged-card-upload-box"">     <upload-pictos :is-uploading=""isUploading"" />     <upload-texts :is-uploading=""isUploading"" />   </section> </template>  <script lang=""ts""> import { defineComponent } from 'vue' import UploadTexts from '@/Common/components/Home/Card/GedCardContent/UploadBox/Texts/UploadTexts.vue' import UploadPictos from '@/Common/components/Home/Card/GedCardContent/UploadBox/Pictos/UploadPictos.vue'  export default defineComponent({   name: 'GedCardUploadBox',   components: { UploadPictos, UploadTexts },   props: {     isUploading: {       type: Boolean,       default: false     }   } }) </script>","describe('GedCardUploadBox', () => {   beforeEach(() => {     wrapper = createWrapper()     uploadTextsWrapper = findUploadTexts(wrapper)     uploadPictosWrapper = findUploadPictos(wrapper)   })    describe('bindings with UploadPictos', () => {     test('props bindings', () => {       expect(uploadPictosWrapper.props('isUploading')).toBe(true)     })   })   describe('bindings with UploadTexts', () => {     test('props bindings', () => {       expect(uploadTextsWrapper.props('isUploading')).toBe(true)     })   }) }) "
"<template>   <div class=""icon-box"">     <wait-picto v-if=""isUploading"" />     <upload-picto v-else />   </div> </template>  <script lang=""ts""> import { defineComponent } from 'vue' import WaitPicto from '@/Common/components/Home/Card/GedCardContent/UploadBox/Pictos/WaitPicto.vue' import UploadPicto from '@/Common/components/Home/Card/GedCardContent/UploadBox/Pictos/UploadPicto.vue'  export default defineComponent({   name: 'UploadPictos',   components: { UploadPicto, WaitPicto },   props: {     isUploading: Boolean   } }) </script>","describe('UploadPictos', () => {   beforeEach(() => {     wrapper = createWrapper()     uploadPictoWrapper = findUploadPicto(wrapper)     waitPictoWrapper = findWaitPicto(wrapper)   })    describe('rendering', () => {     const cases = [       { isUploading: false, uploadPictoExists: true, waitPictoExists: false },       { isUploading: true, uploadPictoExists: false, waitPictoExists: true }     ]      test.each(cases)(       'should render UploadPicto when there is no upload in progress',       ({ isUploading, uploadPictoExists, waitPictoExists }) => {         wrapper = createWrapper({ isUploading })          uploadPictoWrapper = findUploadPicto(wrapper)         waitPictoWrapper = findWaitPicto(wrapper)          expect(uploadPictoWrapper.exists()).toBe(uploadPictoExists)         expect(waitPictoWrapper.exists()).toBe(waitPictoExists)       }     )   }) }) "
"<template>   <div class=""upload-texts"">     <span class=""upload-texts__title"">       {{ $t(boxInnerText.title) }}     </span>     <div class=""upload-texts__subtitle"">       {{         isUploading           ? $t(boxInnerText.subtitle)           : `${$t(boxInnerText.subtitle)} ${authorizedTypes}`       }}     </div>   </div> </template>  <script lang=""ts""> import { computed, defineComponent } from 'vue' import constants from '@/Common/constants'  export default defineComponent({   name: 'UploadTexts',    props: {     isUploading: Boolean   },    setup(props) {     const types = constants.allowedTypes      const authorizedTypes = computed(() =>       types.reduce((accumulator, currentValue) =>         accumulator.concat(', ', currentValue)       )     )      return {       authorizedTypes,       boxInnerText: computed(() => {         return !props.isUploading           ? {               title: 'ged.upload.default.title',               subtitle: 'ged.upload.default.subtitle'             }           : {               title: 'ged.upload.disabled.title',               subtitle: 'ged.upload.disabled.subtitle'             }       })     }   } }) </script>","describe('UploadTexts', () => {   beforeEach(() => {     wrapper = createWrapper()   })    describe('rendering', () => {     const cases = [       {         isUploading: false,         title: 'ged.upload.default.title',         subtitle: 'ged.upload.default.subtitle Jpeg, Png, Pdf, Doc, Xls'       },       {         isUploading: true,         title: 'ged.upload.disabled.title',         subtitle: 'ged.upload.disabled'       }     ]      it.each(cases)(       'should display good title and subtitle when uploading',       ({ subtitle, title, isUploading }) => {         wrapper = createWrapper({ isUploading })          expect(wrapper.text()).toContain(title)         expect(wrapper.text()).toContain(subtitle)       }     )   }) }) "
"<template>   <div     v-loading=""folders.isLoading""     element-loading-background=""transparent""     class=""shortcuts-container""     :class=""{ loading: folders.isLoading }""   >     <shortcut       v-for=""folder in folders.collection""       :key=""folder.id""       :folder-name=""folder.name""       @click=""goToArboView({ folderId: folder.id })""     />   </div> </template>  <script lang=""ts""> import { defineComponent } from 'vue' import Shortcut from '@/Common/components/Home/Card/GedCardContent/Shortcuts/Shortcut.vue' import Folders from '@/modules/Search/models/Folders/Inputs/Folders' import useSearchNavigator from '@/modules/Search/navigator/useSearchNavigator.ts'  export default defineComponent({   name: 'Shortcuts',   components: { Shortcut },   props: {     folders: {       type: Folders,       required: true     }   },    setup() {     const { goToArboView } = useSearchNavigator()      return {       goToArboView     }   } }) </script>","describe('Shortcuts', () => {   beforeEach(() => {     wrapper = createWrapper()     shortcutWrappers = findShortcuts(wrapper)   })    describe('rendering', () => {     it('should have loading class when folders are loading', () => {       wrapper = createWrapper({ folders: Folders.loading() })        expect(wrapper.classes()).toContain('loading')     })   })   describe('bindings with Shortcut', () => {     test('props bindings', () => {       expect(shortcutWrappers).toHaveLength(5)       expect(shortcutWrappers[0].props('folderName')).toBe('A classer')     })     describe('events', () => {       it('should go to arbo view with correct folder id when click on shortcut', async () => {         await shortcutWrappers[0].vm.$emit('click')          expect(router.push).toHaveBeenCalledWith({           name: 'ArboView',           query: { folderId: 1122 }         })       })     })   }) }) "
"<template>   <natto-shortcut-card     class=""shortcut""     :text=""folderName""     prepend-icon=""documents""   /> </template>  <script lang=""ts""> import { defineComponent } from 'vue' import NattoShortcutCard from '@/Common/components/Cards/NattoShortcutCard.vue'  export default defineComponent({   name: 'Shortcut',   components: { NattoShortcutCard },   props: {     folderName: {       type: String,       required: true     }   } }) </script>","describe('Shortcut', () => {   beforeEach(() => {     wrapper = createWrapper()     nattoShortcutCardWrapper = findNattoShortcutCard(wrapper)   })    describe('bindings with NattoDialogPopup', () => {     test('props bindings', () => {       expect(nattoShortcutCardWrapper.props('text')).toBe('test')       expect(nattoShortcutCardWrapper.props('prependIcon')).toBe('documents')     })   }) }) "
"<template>   <div v-if=""filePath"" :title=""filePath.join('/')"">     <span v-for=""(item, index) in formattedFilePath"" :key=""item"">       <span>         {{ item }}       </span>       <span         v-if=""index !== formattedFilePath.length - 1""         class=""el-icon-arrow-right""       />     </span>   </div> </template>  <script lang=""ts""> import { defineComponent, computed, PropType } from 'vue' export default defineComponent({   name: 'FilePathText',   props: {     filePath: {       type: Array as PropType<string[]>,       required: true     }   },   setup(props) {     const formattedFilePath = computed(() => {       if (!props.filePath) {         return []       }        return props.filePath.length < 6         ? props.filePath         : [props.filePath[0], '...', props.filePath[props.filePath.length - 1]]     })      return {       formattedFilePath     }   } }) </script>","describe('FilePathText', () => {   describe('binding', () => {     describe('props', () => {       it('Should not display anything when folders null(header case)', () => {         const wrapper = createWrapper()         const spanWrapper: DOMWrapper<HTMLSpanElement>[] =           wrapper.findAll('span')         expect(spanWrapper).toStrictEqual([])       })        it('Should display all folders when folders < 6', () => {         const wrapper = createWrapper({ filePath: ['A', 'B'] })         const divWrapper: DOMWrapper<any>[] = wrapper.findAll('div')         const spanWrapper: DOMWrapper<any>[] = wrapper.findAll('span')          expect(divWrapper[0].attributes('title')).toBe('A/B')         expect(spanWrapper[1].text()).toBe('A')         expect(spanWrapper[2].classes('el-icon-arrow-right')).toBeTruthy()         expect(spanWrapper[3].text()).toBe('B')       })        it('Should display first and last folder when folders > 6', () => {         const wrapper = createWrapper({           filePath: ['A', 'B', 'C', 'D', 'E', 'F', 'G']         })         const divWrapper: DOMWrapper<any>[] = wrapper.findAll('div')         const spanWrapper: DOMWrapper<any>[] = wrapper.findAll('span')          expect(divWrapper[0].attributes('title')).toBe('A/B/C/D/E/F/G')         expect(spanWrapper[1].text()).toBe('A')         expect(spanWrapper[2].classes('el-icon-arrow-right')).toBeTruthy()         expect(spanWrapper[4].text()).toBe('...')         expect(spanWrapper[5].classes('el-icon-arrow-right')).toBeTruthy()         expect(spanWrapper[7].text()).toBe('G')       })     })   }) }) "
"<template>   <span>{{ filenameFormatted }}</span> </template>  <script lang=""ts""> import { defineComponent, computed } from 'vue' import useStringHelpers from '@/Common/hooks/useStringHelpers' export default defineComponent({   name: 'FilenameText',   props: {     filename: {       type: String,       required: true     },     maxLength: {       type: [Number, String],       default: 45,       validator: (value: number) => value >= 45     }   },   setup(props) {     const { ellipsify } = useStringHelpers()      const filenameFormatted = computed(() =>       ellipsify(props.filename, Number(props.maxLength))     )      return {       filenameFormatted     }   } }) </script>","describe('FilenameText', () => {   describe('binding', () => {     describe('props', () => {       it('Should display filename formated when send filename props with length > 45', () => {         const wrapper = createWrapper(           'nomdefichiersuuuupeeeeeeeeeeeeeeeeeeeerlongggg!!.pdf'         )         const spanWrapper: DOMWrapper<any>[] = wrapper.findAll('span')          expect(spanWrapper.length).toBe(1)         expect(spanWrapper[0].text()).toBe('nomdefichiersuuuupee...gggg!!.pdf')       })        it('Should display filename formated when send filename props with length < 45', () => {         const wrapper = createWrapper('nomdefichier.pdf')         const spanWrapper: DOMWrapper<any>[] = wrapper.findAll('span')          expect(spanWrapper.length).toBe(1)         expect(spanWrapper[0].text()).toBe('nomdefichier.pdf')       })     })   }) }) "
"<template>   <iframe :src=""urlFile"" class=""natto-doc-viewer"" /> </template>  <script lang=""ts""> import { computed, defineComponent } from 'vue'  export default defineComponent({   name: 'NattoDocViewer',    props: {     file: {       type: Blob,       required: true     }   },    setup(props) {     const urlFile = computed(() => URL.createObjectURL(props.file))      return {       urlFile     }   } }) </script>","describe('NattoDocViewer', () => {   beforeEach(() => {     wrapper = createWrapper()     iFrameWrapper = findIframe(wrapper)   })    describe('bindings with NattoDialogPopup', () => {     test('props bindings', () => {       expect(iFrameWrapper.attributes()).toStrictEqual({         class: 'natto-doc-viewer',         src: 'https://myObjectUrl.com'       })     })   }) }) "
